visitor_team_name,visitor_goals,home_team_name,home_goals,overtimes,attendance,game_duration,game_remarks,date_game
Dallas Stars,3,Anaheim Ducks,4,,"17,294",,,2014-04-16
Columbus Blue Jackets,3,Pittsburgh Penguins,4,,"18,646",,,2014-04-16
Montreal Canadiens,5,Tampa Bay Lightning,4,OT,"19,204",,,2014-04-16
Minnesota Wild,4,Colorado Avalanche,5,OT,"18,074",,,2014-04-17
Philadelphia Flyers,1,New York Rangers,4,,"18,006",,,2014-04-17
Los Angeles Kings,3,San Jose Sharks,6,,"17,562",,,2014-04-17
Chicago Blackhawks,3,St. Louis Blues,4,3OT,"19,423",,,2014-04-17
Dallas Stars,2,Anaheim Ducks,3,,"17,426",,,2014-04-18
Detroit Red Wings,1,Boston Bruins,0,,"17,565",,,2014-04-18
Montreal Canadiens,4,Tampa Bay Lightning,1,,"19,204",,,2014-04-18
Minnesota Wild,2,Colorado Avalanche,4,,"18,402",,,2014-04-19
Columbus Blue Jackets,4,Pittsburgh Penguins,3,2OT,"18,619",,,2014-04-19
Chicago Blackhawks,3,St. Louis Blues,4,OT,"19,639",,,2014-04-19
Detroit Red Wings,1,Boston Bruins,4,,"17,565",,,2014-04-20
Tampa Bay Lightning,2,Montreal Canadiens,3,,"21,273",,,2014-04-20
Philadelphia Flyers,4,New York Rangers,2,,"18,006",,,2014-04-20
Los Angeles Kings,2,San Jose Sharks,7,,"17,562",,,2014-04-20
Pittsburgh Penguins,4,Columbus Blue Jackets,3,,"19,148",,,2014-04-21
St. Louis Blues,0,Chicago Blackhawks,2,,"22,112",,,2014-04-21
Anaheim Ducks,0,Dallas Stars,3,,"19,120",,,2014-04-21
Colorado Avalanche,0,Minnesota Wild,1,OT,"19,221",,,2014-04-21
Boston Bruins,3,Detroit Red Wings,0,,"20,066",,,2014-04-22
San Jose Sharks,4,Los Angeles Kings,3,OT,"18,390",,,2014-04-22
Tampa Bay Lightning,3,Montreal Canadiens,4,,"21,273",,,2014-04-22
New York Rangers,4,Philadelphia Flyers,1,,"20,096",,,2014-04-22
Pittsburgh Penguins,3,Columbus Blue Jackets,4,OT,"18,970",,,2014-04-23
St. Louis Blues,3,Chicago Blackhawks,4,OT,"22,123",,,2014-04-23
Anaheim Ducks,2,Dallas Stars,4,,"18,962",,,2014-04-23
Boston Bruins,3,Detroit Red Wings,2,OT,"20,066",,,2014-04-24
San Jose Sharks,3,Los Angeles Kings,6,,"18,376",,,2014-04-24
Colorado Avalanche,1,Minnesota Wild,2,,"19,396",,,2014-04-24
Dallas Stars,2,Anaheim Ducks,6,,"17,334",,,2014-04-25
New York Rangers,1,Philadelphia Flyers,2,,"20,132",,,2014-04-25
Chicago Blackhawks,3,St. Louis Blues,2,OT,"19,796",,,2014-04-25
Detroit Red Wings,2,Boston Bruins,4,,"17,565",,,2014-04-26
Minnesota Wild,3,Colorado Avalanche,4,OT,"18,418",,,2014-04-26
Columbus Blue Jackets,1,Pittsburgh Penguins,3,,"18,618",,,2014-04-26
Los Angeles Kings,3,San Jose Sharks,0,,"17,562",,,2014-04-26
St. Louis Blues,1,Chicago Blackhawks,5,,"22,144",,,2014-04-27
Anaheim Ducks,5,Dallas Stars,4,OT,"19,323",,,2014-04-27
Philadelphia Flyers,2,New York Rangers,4,,"18,006",,,2014-04-27
Pittsburgh Penguins,4,Columbus Blue Jackets,3,,"19,189",,,2014-04-28
San Jose Sharks,1,Los Angeles Kings,4,,"18,384",,,2014-04-28
Colorado Avalanche,2,Minnesota Wild,5,,"19,314",,,2014-04-28
New York Rangers,2,Philadelphia Flyers,5,,"20,137",,,2014-04-29
Minnesota Wild,5,Colorado Avalanche,4,OT,"18,511",,,2014-04-30
Philadelphia Flyers,1,New York Rangers,2,,"18,006",,,2014-04-30
Los Angeles Kings,5,San Jose Sharks,1,,"17,562",,,2014-04-30
Montreal Canadiens,4,Boston Bruins,3,2OT,"17,565",,,2014-05-01
Minnesota Wild,2,Chicago Blackhawks,5,,"22,116",,,2014-05-02
New York Rangers,3,Pittsburgh Penguins,2,OT,"18,622",,,2014-05-02
Los Angeles Kings,3,Anaheim Ducks,2,OT,"17,393",,,2014-05-03
Montreal Canadiens,3,Boston Bruins,5,,"17,565",,,2014-05-03
Minnesota Wild,1,Chicago Blackhawks,4,,"22,018",,,2014-05-04
New York Rangers,0,Pittsburgh Penguins,3,,"18,638",,,2014-05-04
Los Angeles Kings,3,Anaheim Ducks,1,,"17,281",,,2014-05-05
Pittsburgh Penguins,2,New York Rangers,0,,"18,006",,,2014-05-05
Chicago Blackhawks,0,Minnesota Wild,4,,"19,416",,,2014-05-06
Boston Bruins,2,Montreal Canadiens,4,,"21,273",,,2014-05-06
Pittsburgh Penguins,4,New York Rangers,2,,"18,006",,,2014-05-07
Anaheim Ducks,3,Los Angeles Kings,2,,"18,622",,,2014-05-08
Boston Bruins,1,Montreal Canadiens,0,OT,"21,273",,,2014-05-08
Chicago Blackhawks,2,Minnesota Wild,4,,"19,405",,,2014-05-09
New York Rangers,5,Pittsburgh Penguins,1,,"18,633",,,2014-05-09
Montreal Canadiens,2,Boston Bruins,4,,"17,565",,,2014-05-10
Anaheim Ducks,2,Los Angeles Kings,0,,"18,489",,,2014-05-10
Minnesota Wild,1,Chicago Blackhawks,2,,"22,016",,,2014-05-11
Pittsburgh Penguins,1,New York Rangers,3,,"18,006",,,2014-05-11
Los Angeles Kings,3,Anaheim Ducks,4,,"17,233",,,2014-05-12
Boston Bruins,0,Montreal Canadiens,4,,"21,273",,,2014-05-12
Chicago Blackhawks,2,Minnesota Wild,1,OT,"19,396",,,2014-05-13
New York Rangers,2,Pittsburgh Penguins,1,,"18,635",,,2014-05-13
Montreal Canadiens,3,Boston Bruins,1,,"17,565",,,2014-05-14
Anaheim Ducks,1,Los Angeles Kings,2,,"18,519",,,2014-05-14
Los Angeles Kings,6,Anaheim Ducks,2,,"17,395",,,2014-05-16
New York Rangers,7,Montreal Canadiens,2,,"21,273",,,2014-05-17
Los Angeles Kings,1,Chicago Blackhawks,3,,"21,832",,,2014-05-18
New York Rangers,3,Montreal Canadiens,1,,"21,273",,,2014-05-19
Los Angeles Kings,6,Chicago Blackhawks,2,,"22,019",,,2014-05-21
Montreal Canadiens,3,New York Rangers,2,OT,"18,006",,,2014-05-22
Chicago Blackhawks,3,Los Angeles Kings,4,,"18,374",,,2014-05-24
Montreal Canadiens,2,New York Rangers,3,OT,"18,006",,,2014-05-25
Chicago Blackhawks,2,Los Angeles Kings,5,,"18,468",,,2014-05-26
New York Rangers,4,Montreal Canadiens,7,,"21,273",,,2014-05-27
Los Angeles Kings,4,Chicago Blackhawks,5,2OT,"21,871",,,2014-05-28
Montreal Canadiens,0,New York Rangers,1,,"18,006",,,2014-05-29
Chicago Blackhawks,4,Los Angeles Kings,3,,"18,471",,,2014-05-30
Los Angeles Kings,5,Chicago Blackhawks,4,OT,"22,315",,,2014-06-01
New York Rangers,2,Los Angeles Kings,3,OT,"18,399",,,2014-06-04
New York Rangers,4,Los Angeles Kings,5,2OT,"18,532",,,2014-06-07
Los Angeles Kings,3,New York Rangers,0,,"18,006",,,2014-06-09
Los Angeles Kings,1,New York Rangers,2,,"18,006",,,2014-06-11
New York Rangers,2,Los Angeles Kings,3,2OT,"18,713",,,2014-06-13
