visitor_team_name,visitor_goals,home_team_name,home_goals,overtimes,attendance,game_duration,game_remarks,date_game
New York Rangers,2,Pittsburgh Penguins,5,,"18,588",2:43,,2016-04-13
Chicago Blackhawks,0,St. Louis Blues,1,OT,"19,241",2:50,,2016-04-13
Detroit Red Wings,2,Tampa Bay Lightning,3,,"19,092",2:48,,2016-04-13
Minnesota Wild,0,Dallas Stars,4,,"18,532",2:37,,2016-04-14
New York Islanders,5,Florida Panthers,4,,"17,422",2:37,,2016-04-14
San Jose Sharks,4,Los Angeles Kings,3,,"18,230",2:36,,2016-04-14
Philadelphia Flyers,0,Washington Capitals,2,,"18,506",2:37,,2016-04-14
Nashville Predators,3,Anaheim Ducks,2,,"17,236",2:42,,2016-04-15
New York Islanders,1,Florida Panthers,3,,"18,373",2:39,,2016-04-15
Chicago Blackhawks,3,St. Louis Blues,2,,"19,846",2:45,,2016-04-15
Detroit Red Wings,2,Tampa Bay Lightning,5,,"19,092",2:51,,2016-04-15
Minnesota Wild,1,Dallas Stars,2,,"18,988",2:48,,2016-04-16
San Jose Sharks,2,Los Angeles Kings,1,,"18,514",2:39,,2016-04-16
New York Rangers,4,Pittsburgh Penguins,2,,"18,614",2:45,,2016-04-16
Philadelphia Flyers,1,Washington Capitals,4,,"18,506",2:39,,2016-04-16
Nashville Predators,3,Anaheim Ducks,2,,"17,174",2:36,,2016-04-17
St. Louis Blues,3,Chicago Blackhawks,2,,"22,207",2:39,,2016-04-17
Tampa Bay Lightning,0,Detroit Red Wings,2,,"20,027",2:42,,2016-04-17
Florida Panthers,3,New York Islanders,4,OT,"15,795",3:13,,2016-04-17
Dallas Stars,3,Minnesota Wild,5,,"19,038",2:40,,2016-04-18
Washington Capitals,6,Philadelphia Flyers,1,,"19,678",2:37,,2016-04-18
Los Angeles Kings,2,San Jose Sharks,1,OT,"17,562",2:52,,2016-04-18
St. Louis Blues,4,Chicago Blackhawks,3,,"22,212",2:49,,2016-04-19
Tampa Bay Lightning,3,Detroit Red Wings,2,,"20,027",2:43,,2016-04-19
Anaheim Ducks,3,Nashville Predators,0,,"17,204",2:34,,2016-04-19
Pittsburgh Penguins,3,New York Rangers,1,,"18,006",2:30,,2016-04-19
Dallas Stars,3,Minnesota Wild,2,,"19,080",2:39,,2016-04-20
Florida Panthers,2,New York Islanders,1,,"15,795",2:40,,2016-04-20
Washington Capitals,1,Philadelphia Flyers,2,,"19,692",2:41,,2016-04-20
Los Angeles Kings,2,San Jose Sharks,3,,"17,562",2:34,,2016-04-20
Anaheim Ducks,4,Nashville Predators,1,,"17,232",2:30,,2016-04-21
Pittsburgh Penguins,5,New York Rangers,0,,"18,006",2:44,,2016-04-21
Chicago Blackhawks,4,St. Louis Blues,3,2OT,"19,956",3:43,,2016-04-21
Detroit Red Wings,0,Tampa Bay Lightning,1,,"19,092",2:34,,2016-04-21
Minnesota Wild,5,Dallas Stars,4,OT,"18,889",3:02,,2016-04-22
New York Islanders,2,Florida Panthers,1,2OT,"20,247",4:07,,2016-04-22
San Jose Sharks,6,Los Angeles Kings,3,,"18,543",2:36,,2016-04-22
