visitor_team_name,visitor_goals,home_team_name,home_goals,overtimes,attendance,game_duration,game_remarks,date_game
Philadelphia Flyers,2,Washington Capitals,0,,"18,506",2:45,,2016-04-22
Nashville Predators,2,Anaheim Ducks,5,,"17,360",2:40,,2016-04-23
St. Louis Blues,3,Chicago Blackhawks,6,,"22,260",2:31,,2016-04-23
New York Rangers,3,Pittsburgh Penguins,6,,"18,607",2:35,,2016-04-23
Dallas Stars,5,Minnesota Wild,4,,"19,310",2:47,,2016-04-24
Florida Panthers,1,New York Islanders,2,2OT,"15,795",3:58,,2016-04-24
Washington Capitals,1,Philadelphia Flyers,0,,"19,925",2:30,,2016-04-24
Anaheim Ducks,1,Nashville Predators,3,,"17,113",2:31,,2016-04-25
Chicago Blackhawks,2,St. Louis Blues,3,,"19,935",2:36,,2016-04-25
Nashville Predators,2,Anaheim Ducks,1,,"17,407",2:34,,2016-04-27
New York Islanders,5,Tampa Bay Lightning,3,,"19,092",2:32,,2016-04-27
Pittsburgh Penguins,3,Washington Capitals,4,OT,"18,506",3:17,,2016-04-28
St. Louis Blues,1,Dallas Stars,2,,"18,532",2:27,,2016-04-29
Nashville Predators,2,San Jose Sharks,5,,"17,026",2:34,,2016-04-29
New York Islanders,1,Tampa Bay Lightning,4,,"19,092",2:36,,2016-04-30
Pittsburgh Penguins,2,Washington Capitals,1,,"18,506",2:41,,2016-04-30
St. Louis Blues,4,Dallas Stars,3,OT,"18,889",3:05,,2016-05-01
Nashville Predators,2,San Jose Sharks,3,,"17,562",2:34,,2016-05-01
Washington Capitals,2,Pittsburgh Penguins,3,,"18,601",2:37,,2016-05-02
San Jose Sharks,1,Nashville Predators,4,,"17,163",2:35,,2016-05-03
Tampa Bay Lightning,5,New York Islanders,4,OT,"15,795",3:00,,2016-05-03
Dallas Stars,1,St. Louis Blues,6,,"19,323",2:47,,2016-05-03
Washington Capitals,2,Pittsburgh Penguins,3,OT,"18,614",3:04,,2016-05-04
San Jose Sharks,3,Nashville Predators,4,3OT,"17,188",4:53,,2016-05-05
Dallas Stars,3,St. Louis Blues,2,OT,"19,770",2:57,,2016-05-05
Tampa Bay Lightning,2,New York Islanders,1,OT,"15,795",3:05,,2016-05-06
St. Louis Blues,4,Dallas Stars,1,,"18,754",2:26,,2016-05-07
Nashville Predators,1,San Jose Sharks,5,,"17,562",2:33,,2016-05-07
Pittsburgh Penguins,1,Washington Capitals,3,,"18,506",2:35,,2016-05-07
New York Islanders,0,Tampa Bay Lightning,4,,"19,092",2:27,,2016-05-08
San Jose Sharks,3,Nashville Predators,4,OT,"17,292",2:48,,2016-05-09
Dallas Stars,3,St. Louis Blues,2,,"19,808",2:36,,2016-05-09
Washington Capitals,3,Pittsburgh Penguins,4,OT,"18,650",3:08,,2016-05-10
St. Louis Blues,6,Dallas Stars,1,,"18,532",2:29,,2016-05-11
Nashville Predators,0,San Jose Sharks,5,,"17,562",2:30,,2016-05-12
Tampa Bay Lightning,3,Pittsburgh Penguins,1,,"18,554",2:36,,2016-05-13
San Jose Sharks,1,St. Louis Blues,2,,"19,483",2:42,,2016-05-15
Tampa Bay Lightning,2,Pittsburgh Penguins,3,OT,"18,534",2:48,,2016-05-16
San Jose Sharks,4,St. Louis Blues,0,,"19,596",2:25,,2016-05-17
Pittsburgh Penguins,4,Tampa Bay Lightning,2,,"19,092",2:39,,2016-05-18
St. Louis Blues,0,San Jose Sharks,3,,"17,562",2:22,,2016-05-19
Pittsburgh Penguins,3,Tampa Bay Lightning,4,,"19,092",2:40,,2016-05-20
St. Louis Blues,6,San Jose Sharks,3,,"17,562",2:39,,2016-05-21
Tampa Bay Lightning,4,Pittsburgh Penguins,3,OT,"18,648",2:54,,2016-05-22
San Jose Sharks,6,St. Louis Blues,3,,"19,372",2:31,,2016-05-23
Pittsburgh Penguins,5,Tampa Bay Lightning,2,,"19,092",2:41,,2016-05-24
St. Louis Blues,2,San Jose Sharks,5,,"17,562",2:28,,2016-05-25
Tampa Bay Lightning,1,Pittsburgh Penguins,2,,"18,638",2:40,,2016-05-26
San Jose Sharks,2,Pittsburgh Penguins,3,,"18,596",2:31,,2016-05-30
San Jose Sharks,1,Pittsburgh Penguins,2,OT,"18,655",2:50,,2016-06-01
Pittsburgh Penguins,2,San Jose Sharks,3,OT,"17,562",3:06,,2016-06-04
Pittsburgh Penguins,3,San Jose Sharks,1,,"17,562",2:35,,2016-06-06
San Jose Sharks,4,Pittsburgh Penguins,2,,"18,680",2:40,,2016-06-09
Pittsburgh Penguins,3,San Jose Sharks,1,,"17,562",2:25,,2016-06-12
