visitor_team_name,visitor_goals,home_team_name,home_goals,overtimes,attendance,game_duration,game_remarks,date_game
Pittsburgh Penguins,3,Ottawa Senators,2,,"19,145",2:32,,2017-05-19
Nashville Predators,3,Anaheim Ducks,1,,"17,307",2:43,,2017-05-20
Ottawa Senators,0,Pittsburgh Penguins,7,,"18,635",2:27,,2017-05-21
Anaheim Ducks,3,Nashville Predators,6,,"17,352",2:44,,2017-05-22
Pittsburgh Penguins,1,Ottawa Senators,2,,"18,111",2:48,,2017-05-23
Ottawa Senators,2,Pittsburgh Penguins,3,2OT,"18,604",3:42,,2017-05-25
Nashville Predators,3,Pittsburgh Penguins,5,,"18,618",2:39,,2017-05-29
Nashville Predators,1,Pittsburgh Penguins,4,,"18,643",2:49,,2017-05-31
Pittsburgh Penguins,1,Nashville Predators,5,,"17,283",2:42,,2017-06-03
Pittsburgh Penguins,1,Nashville Predators,4,,"17,260",2:44,,2017-06-05
Nashville Predators,0,Pittsburgh Penguins,6,,"18,605",2:35,,2017-06-08
Pittsburgh Penguins,2,Nashville Predators,0,,"17,271",2:37,,2017-06-11
