Player,Rk,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Q,pop,prob_pts,team_full
Nick Holden,369,31,VEG,D,61,3,12,15,5,14,3.2,3,0,0,0,10,0,2,77,3.9,1116,18:18,76,104,0,0,,0.2459016393442623,0.7261904761904762,0.17857142857142858,Vegas Golden Knights
Justin Schultz,749,28,PIT,D,29,2,13,15,0,4,2.0,1,1,0,0,8,5,0,47,4.3,595,20:30,41,25,0,0,,0.5172413793103449,0.34523809523809523,0.17857142857142858,Pittsburgh Penguins
Ian Cole,150,29,COL,D,71,2,13,15,-1,115,2.6,2,0,0,0,13,0,0,82,2.4,1403,19:45,178,107,0,0,,0.2112676056338028,0.8452380952380952,0.17857142857142858,Colorado Avalanche
Nikita Zadorov,899,23,COL,D,70,7,7,14,19,75,4.4,7,0,0,0,7,0,0,100,7.0,1204,17:12,67,228,0,0,,0.2,0.8333333333333334,0.16666666666666669,Colorado Avalanche
Olli Maatta,516,24,PIT,D,60,1,13,14,9,12,2.7,0,1,0,1,10,3,0,74,1.4,1115,18:35,116,97,0,0,,0.23333333333333334,0.7142857142857143,0.16666666666666669,Pittsburgh Penguins
Trevor van Riemsdyk,855,27,CAR,D,78,3,11,14,-4,10,2.7,3,0,0,1,11,0,0,102,2.9,1175,15:04,84,42,0,0,,0.1794871794871795,0.9285714285714286,0.16666666666666669,Carolina Hurricanes
Zdeno Chara,132,41,BOS,D,62,5,9,14,22,57,4.8,4,1,0,2,7,2,0,99,5.1,1307,21:05,88,81,0,0,,0.22580645161290322,0.7380952380952381,0.16666666666666669,Boston Bruins
Calvin de Haan,181,27,CAR,D,74,1,13,14,1,20,3.1,1,0,0,1,13,0,0,102,1.0,1370,18:31,106,187,0,1,0.0,0.1891891891891892,0.8809523809523809,0.16666666666666669,Carolina Hurricanes
Nikita Zaitsev,900,27,TOR,D,81,3,11,14,2,18,2.4,3,0,0,0,11,0,0,71,4.2,1658,20:28,151,139,0,0,,0.1728395061728395,0.9642857142857143,0.16666666666666666,Toronto Maple Leafs
Jack Johnson,401,32,PIT,D,82,1,12,13,-4,41,1.8,0,1,0,0,9,1,2,86,1.2,1581,19:17,147,233,0,0,,0.15853658536585366,0.9761904761904762,0.15476190476190477,Pittsburgh Penguins
Tim Heed,353,28,SJS,D,37,2,11,13,9,10,2.5,1,1,0,0,9,2,0,41,4.9,532,14:22,31,16,0,0,,0.35135135135135137,0.44047619047619047,0.15476190476190477,San Jose Sharks
John Moore,579,28,BOS,D,61,4,9,13,0,26,2.8,2,2,0,1,8,1,0,97,4.1,1145,18:46,76,77,0,0,,0.21311475409836064,0.7261904761904762,0.15476190476190474,Boston Bruins
Deryk Engelland,234,36,VEG,D,74,2,10,12,-3,18,2.5,2,0,0,1,10,0,0,105,1.9,1471,19:53,152,165,0,0,,0.16216216216216217,0.8809523809523809,0.14285714285714285,Vegas Golden Knights
Taylor Fedun,248,30,DAL,D,54,4,7,11,2,14,2.9,4,0,0,0,4,2,1,86,4.7,748,13:51,58,19,0,0,,0.2037037037037037,0.6428571428571429,0.13095238095238096,Dallas Stars
Joel Edmundson,223,25,STL,D,64,2,9,11,8,68,3.2,2,0,0,1,9,0,0,102,2.0,1241,19:23,106,128,0,1,0.0,0.171875,0.7619047619047619,0.13095238095238093,St. Louis Blues
Patrik Nemeth,598,26,COL,D,74,1,9,10,5,53,2.3,1,0,0,0,8,0,1,57,1.8,1220,16:29,131,137,1,0,100.0,0.13513513513513514,0.8809523809523809,0.11904761904761905,Colorado Avalanche
Christian Djoos,197,24,WSH,D,45,1,9,10,9,4,2.0,1,0,0,0,9,0,0,33,3.0,611,13:34,28,18,0,0,,0.2222222222222222,0.5357142857142857,0.11904761904761904,Washington Capitals
