Player,Rk,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Q,pop,prob_pts,team_full
Valtteri Filppula,252,34,NYI,C,72,17,14,31,19,16,3.9,16,0,1,4,14,0,0,78,21.8,1028,14:16,34,12,398,413,49.1,0.4305555555555556,0.8571428571428571,0.36904761904761907,New York Islanders
Mathieu Perreault,651,31,WPG,C,82,15,16,31,-1,44,2.8,11,4,0,3,13,3,0,95,15.8,1003,12:14,25,127,26,27,49.1,0.3780487804878049,0.9761904761904762,0.369047619047619,Winnipeg Jets
Oskar Sundqvist,815,24,STL,C,74,14,17,31,-1,22,2.9,13,0,1,2,15,1,1,113,12.4,1023,13:49,31,101,227,314,42.0,0.4189189189189189,0.8809523809523809,0.369047619047619,St. Louis Blues
Colton Sissons,773,25,NSH,C,75,15,15,30,20,23,3.3,14,1,0,3,13,1,1,110,13.6,1203,16:03,52,109,421,372,53.1,0.4,0.8928571428571429,0.3571428571428572,Nashville Predators
Radek Faksa,243,25,DAL,C,81,15,15,30,-3,54,2.6,13,1,1,1,12,2,1,114,13.2,1331,16:26,65,103,570,562,50.4,0.37037037037037035,0.9642857142857143,0.35714285714285715,Dallas Stars
Marcus Sorensen,786,26,SJS,RW,80,17,13,30,10,23,3.1,16,0,1,1,12,0,1,100,17.0,1037,12:58,29,88,12,19,38.7,0.375,0.9523809523809523,0.3571428571428571,San Jose Sharks
Connor Brown,97,25,TOR,RW,82,8,21,29,11,16,2.0,8,0,0,0,17,1,3,85,9.4,1131,13:48,37,35,20,31,39.2,0.35365853658536583,0.9761904761904762,0.34523809523809523,Toronto Maple Leafs
Brandon Tanev,821,27,WPG,LW,80,14,15,29,9,41,2.7,12,0,2,0,14,0,1,127,11.0,1129,14:07,81,278,3,5,37.5,0.3625,0.9523809523809523,0.34523809523809523,Winnipeg Jets
Jordan Staal,793,30,CAR,C,50,11,17,28,6,26,2.7,11,0,0,1,15,2,0,121,9.1,914,18:17,18,122,571,452,55.8,0.56,0.5952380952380952,0.33333333333333337,Carolina Hurricanes
Pat Maroon,540,30,STL,LW,74,10,18,28,-3,64,2.1,8,2,0,3,9,9,0,118,8.5,1049,14:10,7,135,2,3,40.0,0.3783783783783784,0.8809523809523809,0.33333333333333337,St. Louis Blues
Lucas Wallmark,872,23,CAR,C,81,10,18,28,-8,36,1.7,8,2,0,4,13,5,0,131,7.6,1198,14:48,39,82,575,554,50.9,0.345679012345679,0.9642857142857143,0.3333333333333333,Carolina Hurricanes
Anthony Beauvillier,46,21,NYI,LW,81,18,10,28,1,8,2.8,17,1,0,4,9,1,0,156,11.5,1186,14:39,35,87,26,31,45.6,0.345679012345679,0.9642857142857143,0.3333333333333333,New York Islanders
Dominik Simon,772,24,PIT,C,71,8,20,28,8,18,2.3,7,1,0,0,18,2,0,121,6.6,946,13:19,19,89,6,13,31.6,0.39436619718309857,0.8452380952380952,0.3333333333333333,Pittsburgh Penguins
Jason Spezza,788,35,DAL,C,76,8,19,27,-13,29,1.7,6,2,0,1,9,10,0,121,6.6,1009,13:16,30,16,470,337,58.2,0.35526315789473684,0.9047619047619048,0.32142857142857145,Dallas Stars
Alex Steen,800,34,STL,C,65,10,17,27,2,14,2.2,7,2,1,0,13,3,1,114,8.8,1030,15:50,50,55,11,18,37.9,0.4153846153846154,0.7738095238095238,0.32142857142857145,St. Louis Blues
Colin Wilson,887,29,COL,C,65,12,15,27,-6,8,2.2,7,5,0,2,13,2,0,104,11.5,882,13:34,31,55,20,32,38.5,0.4153846153846154,0.7738095238095238,0.32142857142857145,Colorado Avalanche
William Nylander,616,22,TOR,C,54,7,20,27,-4,16,1.6,6,1,0,0,15,5,0,130,5.4,838,15:31,14,16,203,165,55.2,0.5,0.6428571428571429,0.32142857142857145,Toronto Maple Leafs
Sam Bennett,52,22,CGY,C,71,13,14,27,-6,93,1.9,9,4,0,2,12,2,0,115,11.3,944,13:17,27,121,50,40,55.6,0.38028169014084506,0.8452380952380952,0.3214285714285714,Calgary Flames
Brock McGinn,556,24,CAR,LW,82,10,16,26,10,20,2.2,9,0,1,0,16,0,0,123,8.1,1173,14:19,38,137,26,35,42.6,0.3170731707317073,0.9761904761904762,0.30952380952380953,Carolina Hurricanes
