Player,Rk,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Q,pop,prob_pts,team_full
Tyler Pitlick,667,27,DAL,C,47,8,4,12,-2,6,1.1,7,1,0,1,4,0,0,75,10.7,629,13:23,27,93,5,7,41.7,0.2553191489361702,0.5595238095238095,0.14285714285714285,Dallas Stars
Andrew Ladd,472,33,NYI,LW,26,3,8,11,3,16,1.0,3,0,0,0,7,0,1,34,8.8,360,13:51,8,37,2,3,40.0,0.4230769230769231,0.30952380952380953,0.13095238095238096,New York Islanders
Lukas Radil,684,28,SJS,C,36,7,4,11,7,6,1.3,7,0,0,2,4,0,0,40,17.5,385,10:41,9,29,6,3,66.7,0.3055555555555556,0.42857142857142855,0.13095238095238096,San Jose Sharks
Greg McKegg,559,26,CAR,C,41,6,5,11,-2,8,1.0,6,0,0,1,5,0,0,27,22.2,437,10:40,18,30,146,140,51.0,0.2682926829268293,0.4880952380952381,0.13095238095238096,Carolina Hurricanes
Chandler Stephenson,804,24,WSH,C,64,5,6,11,-13,0,-0.4,4,0,1,0,6,0,0,36,13.9,775,12:07,33,38,47,48,49.5,0.171875,0.7619047619047619,0.13095238095238093,Washington Capitals
Valeri Nichushkin,599,23,DAL,RW,57,0,10,10,-4,0,-0.1,0,0,0,0,10,0,0,65,0.0,679,11:55,32,71,3,3,50.0,0.17543859649122806,0.6785714285714286,0.11904761904761904,Dallas Stars
Teddy Blueger,67,24,PIT,C,28,6,4,10,7,15,1.3,5,0,1,1,2,0,2,33,18.2,310,11:03,14,52,41,51,44.6,0.35714285714285715,0.3333333333333333,0.11904761904761904,Pittsburgh Penguins
Mason Appleton,18,23,WPG,C,36,3,7,10,9,4,1.1,3,0,0,1,7,0,0,29,10.3,295,8:12,12,28,0,1,0.0,0.2777777777777778,0.42857142857142855,0.11904761904761904,Winnipeg Jets
Jakob Forsbacka Karlsson,262,22,BOS,C,28,3,6,9,1,2,0.7,3,0,0,0,5,1,0,21,14.3,330,11:48,9,14,95,131,42.0,0.32142857142857145,0.3333333333333333,0.10714285714285715,Boston Bruins
William Carrier,124,24,VEG,LW,54,8,1,9,-4,29,0.7,8,0,0,1,1,0,0,85,9.4,537,9:57,13,277,0,0,,0.16666666666666666,0.6428571428571429,0.10714285714285715,Vegas Golden Knights
Tom Kuhnhackl,459,27,NYI,RW,36,4,5,9,1,10,0.6,4,0,0,0,4,0,1,30,13.3,457,12:41,41,48,0,2,0.0,0.25,0.42857142857142855,0.10714285714285714,New York Islanders
Devante Smith-Pelly,783,26,WSH,RW,54,4,4,8,-6,15,-0.1,4,0,0,0,4,0,0,60,6.7,586,10:51,36,78,16,25,39.0,0.14814814814814814,0.6428571428571429,0.09523809523809525,Washington Capitals
Antti Suomela,816,24,SJS,C,27,3,5,8,1,4,0.6,3,0,0,0,5,0,0,42,7.1,306,11:19,11,10,102,127,44.5,0.2962962962962963,0.32142857142857145,0.09523809523809525,San Jose Sharks
Dmitrij Jaskin,393,25,WSH,RW,37,2,6,8,-5,6,0.1,2,0,0,0,6,0,0,48,4.2,373,10:05,14,87,0,3,0.0,0.21621621621621623,0.44047619047619047,0.09523809523809525,Washington Capitals
Saku Maenalanen,524,24,CAR,RW,34,4,4,8,0,20,0.7,4,0,0,0,4,0,0,36,11.1,321,9:26,10,45,6,15,28.6,0.23529411764705882,0.40476190476190477,0.09523809523809523,Carolina Hurricanes
Trevor Moore,580,23,TOR,LW,25,2,6,8,1,2,0.6,2,0,0,0,6,0,0,26,7.7,227,9:06,7,15,0,0,,0.32,0.2976190476190476,0.09523809523809523,Toronto Maple Leafs
Gabriel Bourque,78,28,COL,LW,55,2,6,8,3,10,0.2,2,0,0,1,5,0,1,34,5.9,536,9:44,48,100,7,13,35.0,0.14545454545454545,0.6547619047619048,0.09523809523809523,Colorado Avalanche
Garrett Wilson,888,27,PIT,LW,50,2,6,8,2,18,0.4,2,0,0,0,6,0,0,54,3.7,381,7:37,16,114,3,4,42.9,0.16,0.5952380952380952,0.09523809523809523,Pittsburgh Penguins
Miikka Salomaki,729,25,NSH,RW,37,3,4,7,5,8,0.6,3,0,0,0,4,0,0,51,5.9,387,10:27,20,72,2,5,28.6,0.1891891891891892,0.44047619047619047,0.08333333333333334,Nashville Predators
Markus Hannikainen,341,25,CBJ,LW,44,4,3,7,-5,2,0.2,4,0,0,1,3,0,0,52,7.7,417,9:29,8,63,0,3,0.0,0.1590909090909091,0.5238095238095238,0.08333333333333334,Columbus Blue Jackets
Erik Haula,347,27,VEG,LW,15,2,5,7,1,10,0.6,2,0,0,0,4,1,0,26,7.7,249,16:35,6,11,78,74,51.3,0.4666666666666667,0.17857142857142858,0.08333333333333334,Vegas Golden Knights
Michael Dal Colle,174,22,NYI,LW,28,3,4,7,3,2,0.6,3,0,0,2,4,0,0,34,8.8,339,12:07,8,10,0,1,0.0,0.25,0.3333333333333333,0.08333333333333333,New York Islanders
Sheldon Dries,207,24,COL,C,40,3,3,6,-7,26,0.0,2,0,1,0,3,0,0,44,6.8,363,9:04,20,66,66,65,50.4,0.15,0.47619047619047616,0.07142857142857142,Colorado Avalanche
Brett Ritchie,706,25,DAL,RW,53,4,2,6,-7,57,0.1,3,1,0,2,2,0,0,57,7.0,509,9:36,13,126,2,7,22.2,0.11320754716981132,0.6309523809523809,0.07142857142857142,Dallas Stars
Lukas Sedlak,752,25,CBJ,C,47,4,2,6,-5,10,0.1,4,0,0,0,2,0,0,43,9.3,423,9:00,20,69,43,44,49.4,0.1276595744680851,0.5595238095238095,0.07142857142857142,Columbus Blue Jackets
Robby Fabbri,241,23,STL,C,32,2,4,6,-4,6,0.0,2,0,0,1,4,0,0,43,4.7,405,12:39,8,30,4,10,28.6,0.1875,0.38095238095238093,0.07142857142857142,St. Louis Blues
Peter Cehlarik,128,23,BOS,LW,20,4,2,6,3,6,0.7,3,1,0,1,2,0,0,30,13.3,252,12:36,7,5,0,5,0.0,0.3,0.23809523809523808,0.07142857142857142,Boston Bruins
Alan Quine,683,25,CGY,C,13,3,2,5,0,6,0.6,2,1,0,0,2,0,0,11,27.3,123,9:30,2,14,13,20,39.4,0.38461538461538464,0.15476190476190477,0.05952380952380953,Calgary Flames
Vladislav Kamenev,416,22,COL,LW,23,2,3,5,-2,10,0.3,0,1,1,0,3,0,0,22,9.1,208,9:02,4,20,59,59,50.0,0.21739130434782608,0.27380952380952384,0.05952380952380953,Colorado Avalanche
Dillon Dube,209,20,CGY,C,25,1,4,5,2,4,0.2,1,0,0,0,4,0,0,22,4.5,252,10:04,3,11,16,24,40.0,0.2,0.2976190476190476,0.05952380952380953,Calgary Flames
Karson Kuhlman,458,23,BOS,C,11,3,2,5,5,2,0.8,3,0,0,1,2,0,0,15,20.0,134,12:09,4,6,1,0,100.0,0.45454545454545453,0.13095238095238096,0.05952380952380953,Boston Bruins
Mackenzie MacEachern,520,24,STL,LW,29,3,2,5,0,10,0.4,3,0,0,1,2,0,0,33,9.1,233,8:02,4,49,0,0,,0.1724137931034483,0.34523809523809523,0.05952380952380953,St. Louis Blues
Ross Johnston,405,24,NYI,LW,17,1,3,4,3,23,0.4,1,0,0,0,3,0,0,12,8.3,135,7:55,1,43,0,1,0.0,0.23529411764705882,0.20238095238095238,0.047619047619047616,New York Islanders
Denis Gurianov,328,21,DAL,RW,21,1,3,4,-3,0,0.1,1,0,0,0,2,1,0,23,4.3,228,10:52,9,23,1,1,50.0,0.19047619047619047,0.25,0.047619047619047616,Dallas Stars
Frederick Gaudreau,282,25,NSH,C,55,3,1,4,1,2,-0.1,3,0,0,1,1,0,0,43,7.0,496,9:01,18,25,156,167,48.3,0.07272727272727272,0.6547619047619048,0.047619047619047616,Nashville Predators
Sammy Blais,64,22,STL,LW,32,2,2,4,-1,6,0.1,2,0,0,0,2,0,0,27,7.4,315,9:51,12,93,1,1,50.0,0.125,0.38095238095238093,0.047619047619047616,St. Louis Blues
Tomas Hyka,384,25,VEG,RW,17,1,3,4,-2,2,0.1,1,0,0,0,1,2,0,22,4.5,200,11:46,5,6,1,1,50.0,0.23529411764705882,0.20238095238095238,0.047619047619047616,Vegas Golden Knights
Zac Rinaldo,704,28,NSH,C,23,1,2,3,1,20,0.2,1,0,0,1,2,0,0,11,9.1,164,7:07,8,47,1,4,20.0,0.13043478260869565,0.27380952380952384,0.03571428571428572,Nashville Predators
Clark Bishop,58,22,CAR,C,20,1,2,3,-3,6,0.0,1,0,0,0,2,0,0,16,6.3,189,9:27,5,39,69,78,46.9,0.15,0.23809523809523808,0.03571428571428571,Carolina Hurricanes
Anders Bjork,60,22,BOS,LW,20,1,2,3,-1,2,0.0,1,0,0,0,2,0,0,18,5.6,236,11:48,12,9,1,0,100.0,0.15,0.23809523809523808,0.03571428571428571,Boston Bruins
Jordan Kyrou,469,20,STL,C,16,1,2,3,-1,4,0.1,1,0,0,0,2,0,0,16,6.3,155,9:40,3,2,2,0,100.0,0.1875,0.19047619047619047,0.03571428571428571,St. Louis Blues
Andrew Agozzino,6,28,COL,LW,11,1,1,2,2,0,0.2,1,0,0,0,1,0,0,11,9.1,86,7:49,3,14,16,22,42.1,0.18181818181818182,0.13095238095238096,0.02380952380952381,Colorado Avalanche
A.J. Greer,318,22,COL,LW,15,1,1,2,-2,14,0.1,1,0,0,0,1,0,0,9,11.1,94,6:16,5,20,2,3,40.0,0.13333333333333333,0.17857142857142858,0.023809523809523808,Colorado Avalanche
Jordan Nolan,609,29,STL,C,14,0,2,2,2,14,0.1,0,0,0,0,2,0,0,17,0.0,111,7:56,4,22,0,1,0.0,0.14285714285714285,0.16666666666666666,0.023809523809523808,St. Louis Blues
Adam Johnson,399,24,PIT,C,6,0,2,2,2,0,0.2,0,0,0,0,2,0,0,3,0.0,32,5:18,3,11,0,0,,0.3333333333333333,0.07142857142857142,0.023809523809523808,Pittsburgh Penguins
Danick Martel,541,24,TBL,LW,9,0,2,2,3,8,0.1,0,0,0,0,2,0,0,16,0.0,92,10:11,1,12,1,1,50.0,0.2222222222222222,0.10714285714285714,0.023809523809523808,Tampa Bay Lightning
Eeli Tolvanen,844,19,NSH,RW,4,1,1,2,2,0,0.3,1,0,0,0,0,1,0,2,50.0,53,13:16,2,4,0,0,,0.5,0.047619047619047616,0.023809523809523808,Nashville Predators
Martin Necas,595,20,CAR,C,7,1,1,2,0,2,0.2,1,0,0,0,1,0,0,6,16.7,70,10:01,2,3,16,28,36.4,0.2857142857142857,0.08333333333333333,0.023809523809523808,Carolina Hurricanes
Martin Hanzal,342,31,DAL,C,7,1,1,2,-4,4,0.0,0,1,0,0,1,0,0,14,7.1,90,12:52,4,14,45,31,59.2,0.2857142857142857,0.08333333333333333,0.023809523809523808,Dallas Stars
Joel L'Esperance,470,23,DAL,RW,18,2,0,2,-4,6,0.0,1,1,0,0,0,0,0,24,8.3,220,12:15,4,22,26,30,46.4,0.1111111111111111,0.21428571428571427,0.023809523809523808,Dallas Stars
Joshua Ho-Sang,367,23,NYI,C,10,1,1,2,2,6,0.1,1,0,0,0,1,0,0,10,10.0,145,14:31,3,0,0,1,0.0,0.2,0.11904761904761904,0.023809523809523808,New York Islanders
Justin Dowling,205,28,DAL,C,11,0,1,1,-4,0,-0.2,0,0,0,0,1,0,0,9,0.0,139,12:40,7,11,31,28,52.5,0.09090909090909091,0.13095238095238096,0.011904761904761906,Dallas Stars
Rourke Chartier,133,22,SJS,C,13,1,0,1,-5,2,-0.2,1,0,0,0,0,0,0,19,5.3,122,9:24,3,14,34,51,40.0,0.07692307692307693,0.15476190476190477,0.011904761904761906,San Jose Sharks
Alexandre Texier,831,19,CBJ,C,2,1,0,1,3,0,0.3,1,0,0,0,0,0,0,6,16.7,26,12:46,1,2,0,1,0.0,0.5,0.023809523809523808,0.011904761904761904,Columbus Blue Jackets
Zac Dalpe,176,29,CBJ,RW,1,0,1,1,1,0,0.1,0,0,0,0,1,0,0,1,0.0,9,9:01,0,0,0,1,0.0,1.0,0.011904761904761904,0.011904761904761904,Columbus Blue Jackets
Daniel Carr,120,27,VEG,LW,6,1,0,1,-1,0,0.1,1,0,0,0,0,0,0,11,9.1,59,9:50,3,9,0,0,,0.16666666666666666,0.07142857142857142,0.011904761904761904,Vegas Golden Knights
Dominic Toninato,845,24,COL,C,2,1,0,1,0,0,0.2,1,0,0,0,0,0,0,1,100.0,13,6:42,1,0,0,4,0.0,0.5,0.023809523809523808,0.011904761904761904,Colorado Avalanche
Erik Condra,156,32,DAL,RW,6,1,0,1,-2,2,0.0,1,0,0,0,0,0,0,10,10.0,76,12:41,1,3,0,1,0.0,0.16666666666666666,0.07142857142857142,0.011904761904761904,Dallas Stars
Zachary Senyshyn,757,21,BOS,RW,2,1,0,1,0,0,0.2,1,0,0,0,0,0,0,4,25.0,23,11:36,0,1,0,0,,0.5,0.023809523809523808,0.011904761904761904,Boston Bruins
Sonny Milano,572,22,CBJ,LW,8,1,0,1,0,0,0.1,1,0,0,0,0,0,0,5,20.0,67,8:19,0,5,0,0,,0.125,0.09523809523809523,0.011904761904761904,Columbus Blue Jackets
Tanner Fritz,269,27,NYI,C,8,0,1,1,-3,2,-0.2,0,0,0,0,1,0,0,6,0.0,87,10:49,6,18,17,24,41.5,0.125,0.09523809523809523,0.011904761904761904,New York Islanders
Nathan Walker,870,24,WSH,C,3,0,1,1,1,2,0.1,0,0,0,0,1,0,0,2,0.0,24,8:09,0,5,0,0,,0.3333333333333333,0.03571428571428571,0.011904761904761904,Washington Capitals
Kevin Stenlund,802,22,CBJ,C,4,0,0,0,0,4,-0.1,0,0,0,0,0,0,0,3,0.0,44,10:58,1,3,3,3,50.0,0.0,0.047619047619047616,0.0,Columbus Blue Jackets
Nikita Soshnikov,787,25,STL,RW,5,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,36,7:10,2,5,0,0,,0.0,0.05952380952380952,0.0,St. Louis Blues
Rem Pitlick,666,21,NSH,C,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,10,9:43,0,0,0,0,,0.0,0.011904761904761904,0.0,Nashville Predators
Anthony Peluso,649,29,CGY,RW,4,0,0,0,-1,7,-0.1,0,0,0,0,0,0,0,1,0.0,16,4:07,0,4,0,0,,0.0,0.047619047619047616,0.0,Calgary Flames
Anthony Richard,699,22,NSH,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,7,7:22,1,0,0,0,,0.0,0.011904761904761904,0.0,Nashville Predators
Stephen Gionta,293,35,NYI,C,5,0,0,0,-4,0,-0.2,0,0,0,0,0,0,0,4,0.0,44,8:47,2,14,20,17,54.1,0.0,0.05952380952380952,0.0,New York Islanders
Anton Blidh,66,23,BOS,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,14,13:47,1,6,0,0,,0.0,0.011904761904761904,0.0,Boston Bruins
Chris Thorburn,836,35,STL,RW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,2,1:52,0,1,0,0,,0.0,0.011904761904761904,0.0,St. Louis Blues
Colin Blackwell,63,25,NSH,C,6,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,5,0.0,58,9:44,3,10,13,16,44.8,0.0,0.07142857142857142,0.0,Nashville Predators
Cory Conacher,155,29,TBL,LW,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,1,0.0,9,8:35,0,0,0,0,,0.0,0.011904761904761904,0.0,Tampa Bay Lightning
Curtis Lazar,486,23,CGY,C,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,,5,4:48,1,0,3,1,75.0,0.0,0.011904761904761904,0.0,Calgary Flames
Nicolas Roy,718,21,CAR,C,6,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,1,0.0,42,6:57,1,7,21,18,53.8,0.0,0.07142857142857142,0.0,Carolina Hurricanes
Kerby Rychel,727,24,CGY,LW,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,18,9:11,1,3,0,1,0.0,0.0,0.023809523809523808,0.0,Calgary Flames
Dylan Gambrell,277,22,SJS,C,8,0,0,0,1,2,-0.1,0,0,0,0,0,0,0,6,0.0,69,8:38,1,13,20,19,51.3,0.0,0.09523809523809523,0.0,San Jose Sharks
Eric Robinson,708,23,CBJ,LW,13,0,0,0,-4,0,-0.4,0,0,0,0,0,0,0,18,0.0,154,11:50,1,24,0,0,,0.0,0.15476190476190477,0.0,Columbus Blue Jackets
Marko Dano,178,24,COL,C,8,0,0,0,-1,7,-0.1,0,0,0,0,0,0,0,3,0.0,55,6:53,3,16,0,5,0.0,0.0,0.09523809523809523,0.0,Colorado Avalanche
Janne Kuokkanen,465,20,CAR,C,7,0,0,0,-2,4,-0.2,0,0,0,0,0,0,0,6,0.0,76,10:55,3,0,0,0,,0.0,0.08333333333333333,0.0,Carolina Hurricanes
Mark Letestu,495,33,CBJ,C,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,19,9:20,0,3,5,1,83.3,0.0,0.023809523809523808,0.0,Columbus Blue Jackets
Logan O'Connor,618,22,COL,RW,5,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,1,0.0,34,6:49,1,4,0,3,0.0,0.0,0.05952380952380952,0.0,Colorado Avalanche
Lee Stempniak,801,35,BOS,RW,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,16,7:49,0,2,0,0,,0.0,0.023809523809523808,0.0,Boston Bruins
Kole Sherwood,765,22,CBJ,RW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,18,9:14,1,10,0,0,,0.0,0.023809523809523808,0.0,Columbus Blue Jackets
Trent Frederic,267,20,BOS,C,15,0,0,0,-4,15,-0.4,0,0,0,0,0,0,0,19,0.0,141,9:24,3,18,41,40,50.6,0.0,0.17857142857142858,0.0,Boston Bruins
Ryan Lomberg,509,24,CGY,LW,4,0,0,0,0,17,-0.1,0,0,0,0,0,0,0,1,0.0,28,6:59,0,12,0,0,,0.0,0.047619047619047616,0.0,Calgary Flames
