visitor_team_name,visitor_goals,home_team_name,home_goals,overtimes,attendance,game_duration,game_remarks,date_game
Dallas Stars,3,Nashville Predators,2,,"17,458",2:30,,2019-04-10
Pittsburgh Penguins,3,New York Islanders,4,OT,"13,917",3:06,,2019-04-10
Vegas Golden Knights,2,San Jose Sharks,5,,"17,562",2:39,,2019-04-10
Columbus Blue Jackets,4,Tampa Bay Lightning,3,,"19,092",2:28,,2019-04-10
St. Louis Blues,2,Winnipeg Jets,1,,"15,321",2:31,,2019-04-10
Toronto Maple Leafs,4,Boston Bruins,1,,"17,565",2:30,,2019-04-11
Colorado Avalanche,0,Calgary Flames,4,,"19,289",2:42,,2019-04-11
Carolina Hurricanes,2,Washington Capitals,4,,"18,506",2:33,,2019-04-11
Pittsburgh Penguins,1,New York Islanders,3,,"13,917",2:37,,2019-04-12
Vegas Golden Knights,5,San Jose Sharks,3,,"17,562",2:36,,2019-04-12
Columbus Blue Jackets,5,Tampa Bay Lightning,1,,"19,092",2:29,,2019-04-12
St. Louis Blues,4,Winnipeg Jets,3,,"15,321",2:36,,2019-04-12
Toronto Maple Leafs,1,Boston Bruins,4,,"17,565",2:24,,2019-04-13
Colorado Avalanche,3,Calgary Flames,2,OT,"19,289",3:04,,2019-04-13
Dallas Stars,1,Nashville Predators,2,OT,"17,611",3:00,,2019-04-13
Carolina Hurricanes,3,Washington Capitals,4,OT,"18,506",2:53,,2019-04-13
Tampa Bay Lightning,1,Columbus Blue Jackets,3,,"19,224",2:29,,2019-04-14
New York Islanders,4,Pittsburgh Penguins,1,,"18,610",2:27,,2019-04-14
Winnipeg Jets,6,St. Louis Blues,3,,"18,486",2:33,,2019-04-14
San Jose Sharks,3,Vegas Golden Knights,6,,"18,461",2:41,,2019-04-14
Washington Capitals,0,Carolina Hurricanes,5,,"18,783",2:39,,2019-04-15
Calgary Flames,2,Colorado Avalanche,6,,"18,098",2:39,,2019-04-15
Nashville Predators,3,Dallas Stars,2,,"18,532",2:35,,2019-04-15
Boston Bruins,2,Toronto Maple Leafs,3,,"19,611",2:34,,2019-04-15
Tampa Bay Lightning,3,Columbus Blue Jackets,7,,"19,328",2:31,,2019-04-16
New York Islanders,3,Pittsburgh Penguins,1,,"18,609",2:29,,2019-04-16
Winnipeg Jets,2,St. Louis Blues,1,OT,"18,346",2:49,,2019-04-16
San Jose Sharks,0,Vegas Golden Knights,5,,"18,567",2:30,,2019-04-16
Calgary Flames,2,Colorado Avalanche,3,OT,"18,102",3:05,,2019-04-17
Nashville Predators,1,Dallas Stars,5,,"18,532",2:38,,2019-04-17
Boston Bruins,6,Toronto Maple Leafs,4,,"19,638",2:26,,2019-04-17
Washington Capitals,1,Carolina Hurricanes,2,,"19,202",2:19,,2019-04-18
Vegas Golden Knights,2,San Jose Sharks,5,,"17,562",2:22,,2019-04-18
St. Louis Blues,3,Winnipeg Jets,2,,"15,321",2:26,,2019-04-18
Toronto Maple Leafs,2,Boston Bruins,1,,"17,565",2:36,,2019-04-19
Colorado Avalanche,5,Calgary Flames,1,,"19,289",2:39,,2019-04-19
Dallas Stars,5,Nashville Predators,3,,"17,633",2:32,,2019-04-20
Winnipeg Jets,2,St. Louis Blues,3,,"18,524",2:39,,2019-04-20
Carolina Hurricanes,0,Washington Capitals,6,,"18,506",2:36,,2019-04-20
Boston Bruins,4,Toronto Maple Leafs,2,,"19,683",2:32,,2019-04-21
San Jose Sharks,2,Vegas Golden Knights,1,2OT,"18,458",3:58,,2019-04-21
Washington Capitals,2,Carolina Hurricanes,5,,"18,913",2:39,,2019-04-22
Nashville Predators,1,Dallas Stars,2,OT,"19,025",3:15,,2019-04-22
Toronto Maple Leafs,1,Boston Bruins,5,,"17,565",2:23,,2019-04-23
Vegas Golden Knights,4,San Jose Sharks,5,OT,"17,562",3:12,,2019-04-23
Carolina Hurricanes,4,Washington Capitals,3,2OT,"18,506",3:51,,2019-04-24
Columbus Blue Jackets,2,Boston Bruins,3,OT,"17,565",2:55,,2019-04-25
Dallas Stars,2,St. Louis Blues,3,,"18,014",2:31,,2019-04-25
Carolina Hurricanes,1,New York Islanders,0,OT,"15,795",2:51,,2019-04-26
Colorado Avalanche,2,San Jose Sharks,5,,"17,562",2:24,,2019-04-26
Columbus Blue Jackets,3,Boston Bruins,2,2OT,"17,565",3:49,,2019-04-27
Dallas Stars,4,St. Louis Blues,2,,"18,285",2:50,,2019-04-27
Carolina Hurricanes,2,New York Islanders,1,,"15,795",2:29,,2019-04-28
Colorado Avalanche,4,San Jose Sharks,3,,"17,562",2:29,,2019-04-28
St. Louis Blues,4,Dallas Stars,3,,"18,532",2:43,,2019-04-29
Boston Bruins,1,Columbus Blue Jackets,2,,"19,337",2:37,,2019-04-30
San Jose Sharks,4,Colorado Avalanche,2,,"18,106",2:22,,2019-04-30
New York Islanders,2,Carolina Hurricanes,5,,"19,066",2:32,,2019-05-01
St. Louis Blues,2,Dallas Stars,4,,"18,790",2:31,,2019-05-01
Boston Bruins,4,Columbus Blue Jackets,1,,"19,431",2:36,,2019-05-02
San Jose Sharks,0,Colorado Avalanche,3,,"18,110",2:39,,2019-05-02
New York Islanders,2,Carolina Hurricanes,5,,"19,495",2:25,,2019-05-03
Dallas Stars,2,St. Louis Blues,1,,"18,542",2:35,,2019-05-03
Columbus Blue Jackets,3,Boston Bruins,4,,"17,565",2:36,,2019-05-04
Colorado Avalanche,1,San Jose Sharks,2,,"17,562",2:25,,2019-05-04
St. Louis Blues,4,Dallas Stars,1,,"18,876",2:30,,2019-05-05
Boston Bruins,3,Columbus Blue Jackets,0,,"19,219",2:40,,2019-05-06
San Jose Sharks,3,Colorado Avalanche,4,OT,"18,098",2:55,,2019-05-06
Dallas Stars,1,St. Louis Blues,2,2OT,"18,531",3:49,,2019-05-07
Colorado Avalanche,2,San Jose Sharks,3,,"17,562",2:23,,2019-05-08
Carolina Hurricanes,2,Boston Bruins,5,,"17,565",2:36,,2019-05-09
St. Louis Blues,3,San Jose Sharks,6,,"17,562",2:37,,2019-05-11
Carolina Hurricanes,2,Boston Bruins,6,,"17,565",2:25,,2019-05-12
St. Louis Blues,4,San Jose Sharks,2,,"17,562",2:23,,2019-05-13
Boston Bruins,2,Carolina Hurricanes,1,,"18,768",2:39,,2019-05-14
San Jose Sharks,5,St. Louis Blues,4,OT,"18,360",2:53,,2019-05-15
Boston Bruins,4,Carolina Hurricanes,0,,"19,041",2:33,,2019-05-16
San Jose Sharks,1,St. Louis Blues,2,,"18,496",2:30,,2019-05-17
St. Louis Blues,5,San Jose Sharks,0,,"17,562",2:31,,2019-05-19
San Jose Sharks,1,St. Louis Blues,5,,"18,684",2:26,,2019-05-21
St. Louis Blues,,Boston Bruins,,,,,,2019-05-27
St. Louis Blues,,Boston Bruins,,,,,,2019-05-29
Boston Bruins,,St. Louis Blues,,,,,,2019-06-01
Boston Bruins,,St. Louis Blues,,,,,,2019-06-03
St. Louis Blues,,Boston Bruins,,,,,,2019-06-06
Boston Bruins,,St. Louis Blues,,,,,,2019-06-09
St. Louis Blues,,Boston Bruins,,,,,,2019-06-12
